﻿# Identitas AG. Validity: 2026-02-28. Evaluated: 2026-03-02
OwnerLanguage;Name;RankLanguage;CountLanguage;RankOverall;CountTotal
de;Bella;1;3822;1;4434
fr;Bella;1;566;1;4434
it;Bella;2;44;1;4434
de;Fiona;2;2729;2;3041
it;Fiona;5;30;2;3041
de;Bianca;4;2574;3;2898
it;Bianca;8;27;3;2898
it;Tina;3;40;4;2801
de;Tina;5;2453;4;2801
de;Sina;3;2688;5;2777
de;Nora;6;2366;6;2604
it;Luna;1;52;7;2573
de;Luna;7;2286;7;2573
fr;Nina;8;333;8;2566
it;Nina;8;27;8;2566
de;Nina;9;2206;8;2566
de;Belinda;7;2286;9;2472
de;Gloria;10;2182;12;2401
it;Mia;6;29;16;2155
it;Lena;8;27;26;1843
it;Stella;4;38;28;1799
it;Bea;8;27;38;1621
fr;Iris;4;370;59;1338
fr;Lola;10;331;112;1013
it;Rosa;6;29;113;1005
fr;Vanille;3;412;279;582
fr;Tulipe;2;432;326;513
fr;Etoile;5;369;330;510
fr;Noisette;6;367;395;432
fr;Cerise;7;340;466;380
fr;Prune;9;332;473;377
