﻿# Identitas AG. Validity: 2010-01-01 - 2026-02-28. Evaluated: 2026-03-02
Year;Month;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH;??
2011;7;86210;15388;20565;306422;27579;366;130167;1197;13708;82271;59560;150133;44749;12878;17613;132754;15960;45178;44713;70557;11213;11832;111389;37298;19322;88310;7952
2011;8;85820;14801;21314;306650;27667;367;130700;1242;13629;82705;59688;150276;44682;12973;17724;133826;16287;45306;44530;71550;11182;11823;111667;37030;19616;88600;7663
2011;9;88289;14855;23025;312519;27913;355;134080;1668;11583;73199;60639;151244;43269;12387;18087;141648;16580;44549;43576;75753;10473;11168;111676;34062;20774;95197;5165
2011;10;89301;15117;23369;316873;28098;356;138396;2677;11827;75303;60860;152764;42583;12391;18470;143401;16844;44796;44512;76561;10319;11945;114919;32489;21060;96724;579
2011;11;89429;15107;23379;317744;28201;349;139627;2850;11988;76495;61317;152993;42266;12501;18569;143866;16409;44868;44880;76491;10617;12384;114992;33122;20997;96679;207
2011;12;89738;15051;23303;319430;28239;341;140120;2883;12027;77377;61637;153000;42408;12531;18598;144056;16729;44610;44987;76188;10769;12660;115287;33689;20853;96295;196
2012;1;89935;14949;23228;320367;28166;345;140094;2909;12014;76978;61688;152921;42295;12544;18541;143639;16542;44662;45077;76080;10795;12689;114802;33473;21031;96251;193
2012;2;89337;14876;23120;322634;28178;337;140353;2878;12121;76522;61585;154102;42546;12554;18592;143870;16701;44789;45365;76062;10780;12748;114859;33063;21163;96179;201
2012;3;88538;14741;22881;322672;28056;345;140061;2868;11951;75620;61310;153631;42763;12499;18343;142229;16831;44578;45028;75349;10773;12431;114532;32551;20982;96088;193
2012;4;88539;14547;22654;319975;27832;356;137641;2787;11781;74175;61113;152874;42427;12274;18114;140635;16790;44698;44609;74771;10695;11951;114753;32110;20794;95683;226
2012;5;88265;14873;22652;314984;27744;354;132933;1618;11462;71615;60045;152410;43353;12427;17495;138404;16654;45095;44720;73419;10456;11009;111555;33815;20374;94167;5368
2012;6;85399;15317;20151;307524;27391;357;130052;1297;13620;80891;59269;149587;44109;12790;17525;131190;16244;44945;44282;69234;11201;11935;111794;36886;19351;87973;7090
2012;7;85427;15304;20217;306810;27364;368;130216;1292;13532;80929;59437;149415;44377;12839;17373;131724;16184;44886;44263;69481;11176;11767;111097;36708;19263;88303;7010
2012;8;85245;15094;20833;306963;27311;365;130446;1299;13514;81589;59297;150201;44232;12886;17662;132748;16181;44485;44223;69858;11148;11813;111230;36395;19423;88714;6772
2012;9;87303;14836;22692;313167;27679;363;132887;1579;11323;72821;60379;152092;43509;12292;18105;140650;16783;44127;43740;74028;10772;10973;111360;33960;20665;95311;5166
2012;10;89185;15052;23050;316818;28147;362;137552;2813;11654;74389;60792;152672;42253;12293;18448;141817;16625;44253;44203;75834;10358;11828;113634;31834;21193;96383;443
2012;11;88924;14980;23009;315772;28178;358;138003;2931;11799;75518;60894;153253;42099;12454;18529;142126;16570;43971;44453;75262;10391;12248;113294;32510;21013;95391;235
2012;12;89279;14907;23043;317877;28318;349;138832;2977;11808;76343;61444;153202;42173;12443;18598;142347;16682;44113;44777;75365;10535;12531;114105;32962;20929;96011;225
2013;1;89276;14903;22994;319897;28301;352;138984;2967;11798;76264;61489;153180;42128;12515;18439;141947;16988;44065;44838;75067;10548;12533;114175;33096;21170;95447;227
2013;2;89355;14772;22825;319882;28292;349;139015;2933;11808;75731;61245;153237;41938;12449;18364;141662;16690;44030;44863;74732;10510;12520;113542;32678;21194;95732;198
2013;3;88977;14638;22724;319337;28267;347;138466;2897;11804;74762;61219;152623;41939;12420;18171;140741;16614;43979;44690;74589;10517;12261;113761;32376;21279;95649;149
2013;4;88600;14366;22552;315430;27876;360;136006;2832;11550;73055;60667;151957;41752;12255;17961;138979;16693;43849;44211;74039;10395;11688;113501;31655;20994;94674;252
2013;5;87606;14326;22228;312102;27606;346;132960;2127;11141;70505;60123;151867;41669;11974;17553;136203;16908;44037;43534;72581;10384;10740;112098;32242;20715;93455;2228
2013;6;85287;15088;20126;305132;27286;340;129694;1223;13271;79846;59404;149987;43031;12726;17442;129472;16748;44263;43852;68331;11228;11617;111777;36033;19567;87943;6982
2013;7;85686;15105;20080;304644;27320;359;129914;1166;13290;80070;59125;149656;43171;12794;17504;129719;16521;44371;43784;69287;11322;11635;110885;36430;19595;87826;6790
2013;8;86051;15017;20554;304418;27467;360;130505;1191;13289;80759;59629;150102;43179;12959;17706;130493;16543;44632;43838;69635;11301;11609;111448;36212;19757;88129;6749
2013;9;87885;14542;22428;309549;27684;363;131891;1702;11102;71796;60888;151615;41992;12194;18073;137943;17030;44290;43150;73405;10816;10821;111745;34046;20608;94826;4993
2013;10;88873;14777;22816;313761;27891;353;136815;2743;11523;73871;61078;152751;41160;12239;18336;140486;16800;44117;43715;74269;10292;11605;114180;31646;21195;96540;536
2013;11;88446;14787;22788;314248;28166;337;137673;2934;11610;74847;60930;152651;41032;12314;18404;140565;16653;43969;43976;74273;10527;12047;114683;32218;21138;96238;160
2013;12;88742;14873;22764;316122;28484;345;138128;2970;11637;75410;61430;152279;41043;12319;18433;140467;16626;44101;44122;74293;10627;12227;115094;32828;21250;96948;192
2014;1;88766;14699;22537;315027;28442;340;137679;3003;11563;74941;61014;152358;40982;12285;18271;139821;16897;44229;43977;74114;10533;12193;114547;32808;21210;95924;190
2014;2;88458;14513;22263;315206;28410;343;137486;2992;11529;74159;60665;152177;40835;12197;18104;138937;16780;43900;43835;73379;10513;12138;114331;32335;21097;96036;189
2014;3;88510;14294;22038;314538;28145;338;137350;2975;11377;72924;60332;151850;40784;12117;17861;137534;16421;43600;43580;73238;10448;11922;114092;31850;21209;95782;151
2014;4;88619;14187;22007;312871;28001;342;135963;2874;11287;71397;60377;151486;40821;11968;17816;136470;16586;43795;43297;72607;10429;11352;114611;31520;21193;95719;251
2014;5;86380;14953;21817;308415;27592;336;130789;1791;11325;69620;59097;150548;41929;12441;17346;133625;16701;44625;43915;71133;10673;10427;113105;33544;20319;93500;5094
2014;6;84545;14914;19470;303085;27564;334;129072;1211;13324;80452;58826;148043;42504;12754;17297;128928;16465;44385;43442;67454;11322;11888;113204;36596;19135;87558;5851
2014;7;84095;14958;19481;302566;27339;327;128735;1166;13275;80593;58561;148095;42710;12717;17228;129408;15912;44198;43464;67556;11348;11799;112442;36493;19319;87830;5867
2014;8;85020;14430;20048;302207;27396;346;129323;1202;13256;81188;58886;148435;42912;12622;17555;130514;15906;44208;43182;68635;11298;11823;112620;36275;19541;88528;5578
2014;9;87360;14284;21990;306681;27728;348;131443;1772;10974;70443;60197;149863;41896;11834;17975;136874;16420;43735;42813;73643;10715;10669;111916;33135;20648;95166;4663
2014;10;87937;14446;22464;310534;28053;344;135929;2674;11405;72159;60691;151078;41116;11914;18123;138658;16944;44042;43137;74674;10047;11349;113690;31357;20901;96340;574
2014;11;88132;14616;22554;310288;28098;348;136662;2873;11583;73357;60942;151064;41093;12131;18321;139378;16663;43815;43407;74120;10264;11803;114122;31998;21001;95895;201
2014;12;88673;14638;22644;310649;28151;347;136492;2959;11664;73727;60967;150822;41229;12191;18217;139448;16586;43835;43528;73865;10333;11994;114570;32524;20969;96512;185
2015;1;88066;14478;22530;312031;28017;342;136136;2924;11739;73573;60746;150895;41168;12244;18167;139015;16535;43758;43786;74192;10359;12031;114357;32471;20993;95986;144
2015;2;88490;14353;22404;313312;27908;339;136414;2963;11658;72958;60635;150923;41158;12233;18092;138627;16666;43622;43655;74031;10418;11950;113931;32111;20912;95905;104
2015;3;87336;14150;22258;312449;27526;339;135906;2885;11561;71962;60131;150800;41348;12084;17961;137718;16719;43675;43448;73319;10346;11681;113760;31427;20886;96146;190
2015;4;87790;14072;21951;309869;27488;341;134352;2822;11362;70615;60107;150114;41596;11939;17686;136473;16564;43211;42823;72452;10243;11228;114059;31155;20869;95772;345
2015;5;87525;14692;21796;305944;27283;347;129125;1719;11245;68980;58911;149633;43364;12176;17314;134532;16702;43966;43355;70822;10503;10327;112462;33358;20332;94012;5480
2015;6;84660;14902;19540;301117;26787;350;126747;1129;13308;80643;57972;146453;43267;12508;17184;127407;16066;43860;42980;67527;11292;11864;112464;36798;19236;87725;6296
2015;7;84181;14902;19525;299837;26834;339;125653;1109;13279;80890;57849;145842;43170;12555;17164;128002;16175;43920;42894;67304;11315;11794;111062;36863;19161;87422;6184
2015;8;83519;14578;20025;299116;26821;334;126628;1150;13254;81453;57942;146581;43390;12526;17354;128987;15933;43827;43113;67842;11084;11865;111151;36641;19259;88060;5884
2015;9;86462;14411;22222;304478;27554;347;128749;1460;11122;70224;59151;148620;42542;12015;17773;136662;16204;43529;42718;72106;10344;10719;111031;33879;20396;94493;4982
2015;10;87838;14610;22411;308036;27670;345;133267;2744;11614;72367;59966;149746;41670;11954;18279;138643;16181;43176;43168;73389;9962;11248;113301;31575;20656;96078;647
2015;11;87603;14734;22556;308249;27679;338;133883;2861;11803;73325;60542;149988;41710;12076;18391;138879;16564;42959;43439;73548;10109;11786;113717;32091;20891;95848;201
2015;12;87804;14740;22534;310064;27738;336;134596;2905;11934;74022;60672;151082;41752;12117;18288;139928;16123;43165;43671;73668;10337;11980;113991;32668;20672;96374;120
2016;1;88034;14676;22360;310938;27666;337;134341;2925;11907;73937;60755;150648;41743;12138;18174;139403;16520;43293;43718;73050;10478;12017;113990;32471;21116;96293;117
2016;2;88042;14418;22300;311330;27528;330;133969;2918;11939;72993;60284;150517;41855;12115;18152;138328;16316;43141;43529;72958;10422;11977;113212;32066;20872;95845;201
2016;3;87748;14248;22213;311701;27473;325;133392;2887;11868;71903;60369;149984;42060;11937;17945;137505;16546;43002;43313;72689;10442;11763;113292;31522;20993;95445;203
2016;4;86969;14075;22023;308916;27318;336;131192;2795;11591;70798;59665;148951;41760;11844;17671;135838;16261;42988;42585;71583;10316;11170;112678;31250;20723;94690;249
2016;5;85958;14451;21920;304318;26742;330;126312;1869;11219;68746;58049;148344;42663;12007;17312;133895;16421;43348;42801;70147;10630;10273;110088;32863;20235;92987;5012
2016;6;82923;14913;19434;298675;26240;329;123042;1100;13368;81671;57300;145002;43413;12514;17085;127429;16046;43313;42506;66573;11370;11935;110291;36950;19169;86273;6314
2016;7;83079;14775;19482;297759;26499;314;122821;1093;13317;82140;57591;145252;43639;12481;17024;128050;15745;43399;42598;66802;11496;11850;110576;37029;19328;86330;6218
2016;8;83361;14451;20142;298255;26447;322;124028;1150;13260;82881;57651;145265;43644;12559;17264;129100;15485;43631;42850;68115;11478;11905;110741;36714;19321;87090;6177
2016;9;86725;14155;22331;303944;26743;326;126982;1456;11302;70799;59087;148155;42141;11969;17971;136926;16150;43033;42148;72617;10929;10506;110285;33862;20287;93459;5247
2016;10;87792;14328;22734;307148;26888;326;131149;2671;11670;72248;59620;149775;41947;12002;18235;138945;16448;43220;42703;73606;10284;11277;112070;31754;20557;95531;1011
2016;11;87388;14476;22856;307554;27091;327;132025;2896;11885;73282;60397;149777;41709;12057;18448;139646;16383;42596;43063;73344;10256;11734;112517;32030;20690;95214;117
2016;12;87099;14546;22782;308799;27121;332;132643;2916;11982;73967;60505;150534;41953;12154;18461;139721;16355;42851;43017;73167;10441;11905;112876;32478;20729;95701;194
2017;1;87189;14494;22748;310169;27158;326;132738;2950;11968;73732;60337;149996;41932;12127;18417;139275;16287;42966;43209;73299;10551;12003;113262;32412;20861;95479;187
2017;2;87144;14276;22585;310579;27161;309;132908;2947;11887;73456;60138;150714;41947;12109;18323;138779;16438;43049;43176;73254;10526;11953;113296;32014;20546;94978;189
2017;3;87108;14175;22289;310318;26882;305;132060;2870;11785;72298;60224;149925;41976;12086;18231;138036;16401;42876;42924;72587;10438;11668;112558;31449;20372;94520;174
2017;4;86742;14000;22189;309298;26483;308;130941;2819;11595;71289;59915;149799;41956;11982;18085;137274;16232;42547;42800;71902;10439;11158;112893;31373;20509;94469;292
2017;5;85451;14343;22032;304829;26146;310;126551;1831;11269;69444;58456;148745;42521;12263;17590;135104;16245;42887;43122;70060;10829;10285;111621;33226;20177;92968;4911
2017;6;82174;14880;19246;298584;25761;303;123544;1097;13330;82830;57929;145149;43129;12491;17323;127564;15834;42982;42556;65709;11709;12028;111772;37216;19205;85890;6138
2017;7;82485;14866;19324;296199;25872;296;123155;1096;13316;82983;57941;144583;43335;12444;17221;127626;15789;43079;42634;66474;11776;11980;111024;37289;18981;85587;6036
2017;8;82675;14661;19897;297007;25860;296;124720;1131;13279;83705;58066;145558;43636;12483;17396;129284;15861;43186;42788;67459;11690;11959;111063;36839;19224;85741;5830
2017;9;86133;14426;22314;302452;26336;304;127958;1793;11145;70692;59442;148629;42621;11968;18176;137816;16064;42709;42486;72073;10774;10441;110245;32790;20506;93382;4510
2017;10;87346;14482;22570;305409;26559;298;131110;2795;11606;72336;59872;149869;42168;11951;18420;139604;16380;42621;42978;72821;10342;11116;112676;31433;20807;94922;807
2017;11;87674;14571;22749;305879;26704;298;132325;2935;11721;72987;60406;149594;42112;12127;18487;140281;16496;42556;43218;72838;10596;11521;113102;31679;20683;94326;196
2017;12;87841;14590;22796;307390;26690;308;132656;2992;11847;73618;60850;149952;42198;12297;18600;140926;16830;42596;43630;73158;10857;11694;113593;32346;20958;94254;182
2018;1;87700;14568;22661;307606;26629;303;132352;3004;11776;73263;60677;149651;42032;12232;18481;140379;16771;42333;43819;73085;10852;11705;113181;32026;21030;93744;155
2018;2;87735;14390;22429;308570;26503;299;132520;3023;11704;72580;60167;149748;41751;12223;18364;139613;16414;42139;43704;72604;10850;11683;113024;31565;21029;93690;101
2018;3;86886;14260;22195;308278;26374;305;131957;3003;11590;71560;59784;149469;41866;12069;18235;138845;16348;42113;43554;72108;10754;11553;112455;30945;20625;93906;207
2018;4;86249;14125;21940;305327;26075;314;129799;2931;11377;69940;59171;148843;41602;11932;17933;137622;16104;42006;42939;71404;10620;10951;112407;30577;20893;93344;382
2018;5;85013;14582;21795;301861;25813;321;125174;1654;11223;67966;57723;148062;42456;12216;17613;135408;16321;42271;43713;70234;10635;10167;110779;32423;20298;91359;5259
2018;6;82109;14808;19036;295775;25364;321;122592;1064;13243;82234;56890;145180;42968;12471;17364;128464;15797;42179;43109;66228;11686;11749;110695;37044;19283;85075;6077
2018;7;81914;14812;19122;294777;25211;328;122488;1040;13261;82473;56949;144382;43119;12478;17289;128239;15471;42440;43208;66138;11837;11681;110182;36866;19206;84963;5972
2018;8;81940;14531;19859;294968;25384;331;123754;1157;13224;82315;57219;144442;43359;12461;17556;128461;15280;42468;43120;66192;11771;11724;110205;36556;19320;85425;5678
2018;9;84798;14294;22395;299443;25968;327;127048;1760;10982;68782;58679;148327;42770;11910;18293;136868;16045;42153;43136;70819;10810;10244;109018;32466;20334;91854;4702
2018;10;86480;14471;22650;301966;26078;319;130026;2826;11503;69708;59486;148847;42413;11746;18509;138690;16225;41822;43128;71586;10444;10709;110665;30690;20868;93204;560
2018;11;86467;14546;22653;301656;25800;333;130608;2997;11674;70228;59638;148473;42111;11934;18510;138846;16117;41420;43356;71305;10496;11107;110959;31157;20411;92893;203
2018;12;86469;14666;22637;303527;25985;339;131189;3050;11789;70953;59778;148749;42256;12089;18539;139126;16384;41329;43726;71308;10731;11332;111657;31715;20928;93173;161
2019;1;87071;14558;22392;303933;25992;331;130844;3069;11724;70502;59585;148983;41954;12069;18372;138536;16500;41175;43734;71013;10839;11411;111210;31415;20748;92851;114
2019;2;86641;14471;22352;305169;25903;339;131387;3089;11758;69853;59180;149812;41891;12070;18279;138268;16305;41357;43661;70927;10886;11352;110833;30891;20947;92778;178
2019;3;87086;14351;22172;304928;25937;332;130540;3057;11659;68974;58949;149100;41841;12047;18192;137663;16552;41312;43459;71026;10902;11104;110946;30576;20755;92665;197
2019;4;86583;14167;21850;301751;25731;338;129233;3039;11334;67550;58344;148386;41397;11865;17819;136405;16248;41338;43065;70433;10820;10679;110059;30087;20814;92499;438
2019;5;85511;14218;21674;297666;25282;336;125465;2135;11015;65457;56964;146855;41478;11809;17370;133998;16379;41658;42711;69327;10822;9929;108497;31193;20469;90946;4270
2019;6;82499;15047;19003;291889;24696;342;122534;1125;13104;79772;56272;143118;42988;12278;17131;126788;15980;41785;42716;64875;11529;11463;108716;36375;19214;84309;5920
2019;7;81992;14920;18825;290386;24637;338;122287;1097;13055;80948;56120;142429;42926;12302;17040;126123;15492;41584;42359;65260;11853;11671;108334;36618;19006;83681;5883
2019;8;81965;14343;19366;290558;24808;346;123227;1164;13137;81783;56257;142279;43116;12337;17237;127676;15579;41685;42630;65433;11773;11694;108127;36330;19037;83840;5804
2019;9;85410;14223;21958;294995;25452;354;126560;1534;10756;67442;57851;146157;42466;11561;18092;135356;16399;41382;42311;69952;11236;9966;107132;32927;20355;90734;4936
2019;10;87126;14381;22224;297241;25587;356;130286;2780;11272;68220;58841;147732;41591;11530;18062;137796;16405;41332;42532;71130;10559;10485;109559;30571;20541;92608;746
2019;11;86829;14592;22206;297222;25839;361;130928;2965;11456;69203;59020;147859;41235;11672;18196;138191;16288;41025;42861;71274;10626;10826;110088;30945;20695;92106;177
2019;12;86269;14562;22210;298446;25798;355;131371;3049;11540;69705;59284;148743;41145;11759;18247;138990;16622;41233;43018;71284;10851;11043;110568;31354;20791;92176;202
2020;1;86524;14508;22066;299196;25890;350;131168;3065;11577;69237;59180;148140;40945;11765;18065;138541;16535;41322;43013;70773;10788;10984;110286;31045;20836;91772;201
2020;2;86916;14410;22029;300438;26113;352;131666;3087;11572;68728;59007;149113;40997;11814;17993;138054;16437;41233;43219;71205;10839;11022;110492;30685;20657;91973;205
2020;3;86643;14298;21976;299794;26010;349;131382;3071;11531;67181;58611;147965;41043;11713;17881;137490;16195;41294;43124;70816;10893;10855;110341;30033;20557;91852;149
2020;4;86130;14179;21809;298235;25693;342;130013;2933;11271;66137;58196;147358;41213;11592;17656;136451;16168;41230;42756;70284;10884;10315;110822;29665;20501;91532;387
2020;5;83956;15185;21263;293428;25302;335;126230;1611;11976;65121;56743;146054;41969;12217;17298;133561;16378;41579;43352;68535;10953;10067;109745;32557;19922;88988;5181
2020;6;81049;14974;18736;288774;24580;334;122816;1150;12912;79640;55903;143126;42007;12024;17079;126554;15945;41567;42541;64555;11845;11586;109113;36340;18872;82591;5736
2020;7;80986;14925;18755;287750;24531;316;122544;1134;12868;80087;55832;142417;42104;12025;16956;126500;15416;41617;42385;65098;11969;11509;108870;36454;18955;82435;5724
2020;8;81515;14261;19612;288137;24605;317;123758;1249;12715;80510;55966;143084;42356;12018;17259;128253;15153;41663;42587;65679;11897;11460;108785;36114;18869;82987;5386
2020;9;85401;14200;21948;293631;25495;329;127699;2004;10718;66184;57334;146050;41427;11389;17939;136008;15909;41367;42585;70539;11023;9848;107671;31393;20231;90206;4376
2020;10;85960;14513;22284;295423;25639;330;130782;2910;11252;67281;57796;147865;41101;11440;18240;137516;16698;41330;42795;71355;10589;10539;110184;30478;20262;91020;569
2020;11;86282;14615;22286;296069;25646;330;131502;3093;11392;67837;58354;148137;41353;11596;18267;137879;16315;41043;43023;71501;10727;10888;110651;31093;20313;91369;277
2020;12;86409;14661;22479;297964;25676;336;132094;3183;11555;68502;58457;148350;41621;11668;18356;138593;16712;40888;43179;71856;10806;11099;111153;31478;20358;91419;148
2021;1;86913;14686;22511;300768;25576;329;132414;3214;11690;68581;58868;148802;41598;11758;18375;138931;16340;41391;43571;72131;10992;11224;111620;31533;20517;92129;127
2021;2;86256;14597;22499;302993;25691;333;133114;3217;11719;68155;58579;149254;41413;11858;18360;138596;16800;41579;43741;72063;11015;11167;111848;31062;20548;92151;122
2021;3;86845;14376;22315;301029;25657;331;132330;3154;11603;67160;58214;148722;41268;11678;18228;137400;16887;41478;43533;71888;11027;10972;111768;30451;20289;92086;200
2021;4;86573;14252;21884;299486;25483;336;131469;3091;11340;66103;58041;148101;40895;11526;18000;136045;16695;41260;42973;71255;10969;10483;111839;30177;20038;91733;451
2021;5;85836;14360;21832;295874;25204;336;127979;2342;11032;64261;57021;147603;41459;11609;17550;134166;16351;41287;43205;70387;10694;9835;109411;31363;19736;91199;4329
2021;6;82306;14888;18894;290500;24525;331;124813;1218;13167;80318;55932;143210;42503;12088;17074;126410;15952;41862;42988;65766;11809;11721;110468;36791;18668;84120;5760
2021;7;81522;14990;18843;290182;24572;312;125315;1222;13103;80926;55943;142507;42637;12164;17057;126291;15801;41879;42803;65876;11861;11742;109931;37207;18489;83696;5729
2021;8;81984;14329;19510;289797;24855;308;125997;1266;13023;81449;56082;142800;42761;12203;17230;127197;16236;41857;42919;66364;11878;11751;109805;37060;18238;84121;5571
2021;9;85310;14352;22012;295052;25470;313;129185;1722;10871;66762;57508;145670;42822;11421;18273;135493;16305;41260;42637;71166;11103;9878;109551;33656;19393;90869;4777
2021;10;86503;14445;22297;299114;25550;318;133977;2920;11337;67957;58621;147572;42124;11465;18462;137347;16618;41488;43178;72358;10683;10456;112374;31196;19664;92516;990
2021;11;86345;14616;22337;298522;25750;310;134262;3203;11536;68680;58859;147167;41985;11511;18536;137372;16800;41553;43257;72163;10721;10875;113277;31516;19644;92005;221
2021;12;86517;14617;22290;300234;25708;308;134559;3274;11712;69338;59503;147866;42234;11562;18518;137824;17033;41550;43439;71921;10932;11050;113830;31911;19603;91658;131
2022;1;87171;14559;22181;301887;25918;302;134768;3306;11747;69355;59790;148562;42222;11726;18506;138004;17115;41681;43446;71810;11064;11124;114183;31755;19716;92052;213
2022;2;87190;14458;22031;303843;26012;296;135500;3287;11742;69135;59647;149214;42332;11741;18482;137937;16895;41854;43576;72029;11067;11229;114153;31397;19969;92203;213
2022;3;87007;14336;21879;303540;25998;306;134815;3240;11538;68170;59459;148837;42529;11593;18287;137002;17298;41556;43355;71941;10874;11065;114395;30838;19792;91856;203
2022;4;87154;14235;21844;302245;25816;307;133708;3188;11373;67400;59245;148504;42316;11495;18019;135435;17118;41453;42908;71240;10787;10523;114949;30602;19681;91959;454
2022;5;86150;15099;21232;297616;25445;299;129339;1645;11985;66123;57615;147318;43410;12029;17582;133171;16948;42057;43796;69711;10816;9796;113789;33745;18932;90431;5051
2022;6;83758;14991;18535;293853;24670;310;127257;1202;13171;82353;57065;143506;43708;11951;17159;126311;16483;42254;42886;65538;11796;11918;113183;37900;18018;83777;5761
2022;7;83152;14932;18661;293150;24759;314;127261;1170;13147;82536;56999;143464;43795;12007;17144;126451;15948;42042;42732;65395;11704;11887;112045;37948;18072;83597;5662
2022;8;82839;14555;19381;292579;24878;308;127728;1331;13052;83090;57132;143432;43461;11974;17366;127231;16878;41957;42942;65969;11402;11965;111699;37403;18095;84324;4951
2022;9;85564;14332;21855;296924;25475;307;130811;2293;10939;67262;59084;147521;42769;11365;18126;135605;16968;41536;42894;70760;10431;9971;111060;32022;19252;91237;3784
2022;10;86837;14560;22182;299887;25745;310;133052;2953;11596;68746;59841;148768;43077;11333;18478;137591;17313;41750;43209;72074;10388;10525;113693;31239;19450;92690;1122
2022;11;87355;14651;22267;299886;25732;305;133604;3299;11750;69725;60127;149003;42952;11343;18675;137757;17366;41640;43531;71805;10580;10911;114747;31737;19450;92581;242
2022;12;87983;14693;22321;301154;25886;319;134573;3352;11794;70754;60578;149285;43255;11376;18712;138200;17390;41507;43712;71522;10901;11092;115304;32358;19508;92388;217
2023;1;87549;14656;22244;301683;25849;315;135031;3383;11799;70761;60837;149806;43252;11506;18599;137965;17133;41582;43756;71670;10911;11203;115015;32335;19476;92326;217
2023;2;87346;14523;22315;302614;25823;318;135483;3398;11733;70229;60459;149793;43155;11460;18459;138209;17262;41700;43785;71948;10876;11219;115174;31841;19506;91928;205
2023;3;86918;14320;22077;302148;25572;307;134953;3311;11654;69217;60386;149502;43269;11397;18274;136856;17322;41421;43476;70983;10804;10942;114693;31239;19344;91735;187
2023;4;86969;14161;21940;301616;25633;312;133554;3260;11387;68119;60090;149341;43158;11354;17995;135886;17201;41272;42893;70774;10699;10553;115174;30804;19508;91177;339
2023;5;86258;14687;21531;296211;25336;316;129032;1973;11399;66682;58542;148155;43793;11665;17552;133449;17136;41801;43175;69307;10747;9779;113661;33249;18869;90093;4579
2023;6;82482;14885;18501;292323;24643;305;126393;1274;13219;83732;57591;143849;43948;11895;17126;126003;16264;41703;42805;64914;11634;12002;113651;37829;17818;82903;5509
