﻿# Identitas AG. Validity: 2010-01-01 - 2026-02-28. Evaluated: 2026-03-02
Year;Month;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH;??
2010;1;90231;15359;23837;324427;28183;410;141082;3003;12194;80033;61968;151690;42271;12709;18668;144250;16283;45255;45496;75686;10772;12995;117937;33452;20531;95481;432
2010;2;90348;15287;23697;326060;28298;409;141695;2994;12243;79580;61914;153030;42257;12797;18575;144700;16365;45354;45538;76190;10692;12911;117968;33279;20636;95819;401
2010;3;89290;15137;23560;324901;28479;399;140829;2967;12144;78617;61783;152229;42462;12640;18612;144201;16389;45341;45334;75744;10701;12695;117817;32894;20462;95732;402
2010;4;89310;15024;23301;322532;28400;410;139185;2906;11931;77332;61582;152018;42455;12513;18358;143039;16359;45190;44859;74796;10657;12167;117677;32707;20222;95273;408
2010;5;88343;15453;23457;317413;27984;399;133427;1967;11758;74764;60778;151700;43450;12673;17655;140801;16492;45808;44870;73935;10624;11025;114990;34714;20000;94240;5816
2010;6;86469;15790;20999;309136;27616;388;130887;1224;13811;84312;59958;148577;44766;13091;17783;133467;16320;45839;45467;70032;11011;12141;114593;37409;19034;87977;8253
2010;7;86270;15749;20890;308452;27635;390;130675;1172;13749;84541;59833;149549;44919;13213;17841;134158;16248;45839;45300;70382;11069;11963;113509;37285;19026;88070;8261
2010;8;86241;15180;21643;307577;27631;399;130872;1238;13603;84796;60190;149703;45054;13142;17941;135053;16090;45779;45145;71085;10988;11911;113007;37133;19279;88518;7819
2010;9;89428;15085;23369;314309;28045;391;134292;1743;11480;74540;60924;151129;43173;12420;18157;143137;16543;45221;44140;76072;10462;11402;112741;34217;20316;95352;5359
2010;10;91187;15170;23544;318651;28203;374;138690;2727;11937;77239;61267;151727;42403;12524;18624;144993;16674;45393;44828;77016;10478;12162;116548;32542;20620;96504;694
2010;11;91083;15295;23628;318780;28239;337;139355;2915;12054;78016;61388;151598;42245;12622;18637;145135;16644;45191;45045;76634;10626;12602;116630;33199;20710;96390;298
2010;12;90807;15282;23504;320378;28339;351;139705;2925;12091;78857;61857;152248;42393;12714;18687;145229;16494;45094;45137;76634;10679;12799;116263;33853;20621;96279;285
2011;1;90321;15160;23389;320816;28504;350;139664;2992;12062;78566;61732;152640;42436;12614;18557;144212;16465;45007;45111;76550;10734;12777;116131;33733;20879;96071;281
2011;2;90781;15007;23195;322096;28617;362;140211;2941;12094;77804;61416;153062;42490;12689;18514;143881;16712;45079;45185;76599;10657;12739;116419;33406;20813;96115;243
2011;3;90446;14833;23137;322438;28425;366;139903;2905;11943;76727;61505;152624;42824;12571;18316;143370;16591;44925;45010;76236;10636;12479;116129;32964;20762;96227;248
2011;4;90288;14768;22932;320109;28337;371;137719;2868;11816;75539;61031;152196;42772;12421;18095;142030;16719;44628;44732;75468;10789;11841;116423;32895;20718;95557;366
2011;5;88412;15737;22784;313112;27919;365;132058;1509;12211;72450;60161;152216;43842;12995;17506;138990;16607;45652;45427;73403;10901;10789;113329;35167;20424;93510;6627
2011;6;86090;15467;20573;307725;27605;361;130349;1254;13709;82299;59605;150025;44595;12973;17694;132269;16180;45446;44798;70499;11225;11994;112707;37361;19320;88045;7974
