﻿# Identitas AG. Validity: 2010-01-01 - 2026-02-28. Evaluated: 2026-03-02
Year;Month;Dairy;OtherCow;NotDefined;Total
2010;1;606760;109706;908169;1624635
2010;2;606835;109942;912260;1629037
2010;3;601941;109961;909859;1621761
2010;4;596908;109961;903742;1610611
2010;5;591537;109617;893382;1594536
2010;6;585563;109686;881101;1576350
2010;7;582903;109801;883284;1575988
2010;8;582871;110301;883845;1577017
2010;9;591888;110905;890654;1593447
2010;10;599405;111452;901862;1612719
2010;11;600611;111654;903031;1615296
2010;12;605074;111933;902498;1619505
2011;1;604739;112138;900877;1617754
2011;2;604717;112205;902205;1619127
2011;3;601058;112220;901262;1614540
2011;4;596936;112130;894362;1603428
2011;5;590791;112084;881228;1584103
2011;6;585814;112158;870170;1568142
2011;7;582793;112116;870375;1565284
2011;8;583414;112651;873253;1569318
2011;9;592865;113062;877806;1583733
2011;10;599787;113745;889002;1602534
2011;11;603421;114131;890775;1608327
2011;12;607762;114519;890721;1613002
2012;1;606792;114689;890727;1612208
2012;2;606175;114812;894528;1615515
2012;3;602231;114748;890865;1607844
2012;4;596825;114482;883497;1594804
2012;5;591418;114515;871333;1577266
2012;6;586139;114632;856633;1557404
2012;7;582343;114811;859608;1556762
2012;8;582061;115373;862493;1559927
2012;9;590950;116471;871141;1578562
2012;10;596783;117146;879956;1593885
2012;11;597758;117348;879059;1594165
2012;12;601579;117688;882908;1602175
2013;1;602583;117902;883103;1603588
2013;2;601456;117801;881289;1600546
2013;3;597692;117804;879700;1595196
2013;4;591465;117628;869056;1578149
2013;5;586544;117625;855089;1559258
2013;6;582520;117497;847679;1547696
2013;7;579830;117334;850885;1548049
2013;8;580963;117949;854620;1553532
2013;9;586670;118890;861817;1567377
2013;10;592033;119383;872952;1584368
2013;11;592978;119302;875334;1587614
2013;12;594935;119570;879249;1593754
2014;1;593880;119825;874645;1588350
2014;2;593283;119926;869598;1582807
2014;3;590827;119893;864540;1575260
2014;4;586751;119705;861390;1567846
2014;5;582981;119374;848685;1551040
2014;6;579722;118690;841211;1539623
2014;7;576549;118590;842343;1537482
2014;8;576158;118939;847837;1542934
2014;9;581742;119806;853637;1555185
2014;10;586607;120441;863532;1570580
2014;11;587684;120703;866342;1574729
2014;12;589308;120800;867611;1577719
2015;1;589663;121150;865870;1576683
2015;2;587938;121365;866469;1575772
2015;3;583232;121349;863430;1568011
2015;4;579068;120930;857300;1557298
2015;5;575809;120777;849319;1545905
2015;6;570956;120168;838958;1530082
2015;7;566305;120087;838833;1525225
2015;8;565023;120360;842934;1528317
2015;9;571889;121503;850801;1544193
2015;10;576462;122312;861767;1560541
2015;11;576920;122694;866156;1565770
2015;12;579780;123127;870374;1573281
2016;1;579308;123602;870135;1573045
2016;2;576745;123730;867082;1567557
2016;3;572951;123772;866045;1562768
2016;4;567458;123464;855313;1546235
2016;5;563010;123377;842553;1528940
2016;6;558460;122758;833960;1515178
2016;7;555682;122698;838307;1516687
2016;8;556291;122899;844097;1523287
2016;9;564481;124045;851009;1539535
2016;10;569495;125024;861420;1555939
2016;11;570962;125081;863715;1559758
2016;12;573730;125697;865802;1565229
2017;1;573888;126517;865667;1566072
2017;2;573478;126656;864547;1564681
2017;3;570926;126858;858751;1556535
2017;4;567683;126907;854699;1549289
2017;5;562867;126539;843810;1533216
2017;6;557396;125745;833232;1516373
2017;7;552168;125380;835843;1513391
2017;8;553267;125699;842328;1521294
2017;9;559778;126998;851409;1538185
2017;10;563517;127789;861992;1553298
2017;11;564966;127921;865174;1558061
2017;12;568311;128431;868907;1565649
2018;1;566708;129168;866139;1562015
2018;2;566709;129644;862069;1558422
2018;3;563048;129699;858497;1551244
2018;4;558521;129266;849020;1536807
2018;5;554728;128975;838636;1522339
