﻿# Identitas AG. Validity: 2010-01-01 - 2026-02-28. Evaluated: 2026-03-02
Year;Month;Dairy;OtherCow;NotDefined;Total
2018;6;550541;128483;829781;1508805
2018;7;545778;128095;831973;1505846
2018;8;545536;128453;834711;1508700
2018;9;551666;129639;842920;1524225
2018;10;553915;130167;851537;1535619
2018;11;555758;130677;849463;1535898
2018;12;558130;131138;854317;1543585
2019;1;557517;131753;851655;1540925
2019;2;556816;132215;851546;1540577
2019;3;554259;132501;849562;1536322
2019;4;548466;132102;841704;1522272
2019;5;543553;131461;828420;1503434
2019;6;540186;130991;820291;1491468
2019;7;535987;130648;820531;1487166
2019;8;536117;130879;824535;1491531
2019;9;542620;132178;832699;1507497
2019;10;545970;133090;842433;1521493
2019;11;546927;133365;844393;1524685
2019;12;549318;133602;847695;1530615
2020;1;549438;134195;844139;1527772
2020;2;549173;135013;846070;1530256
2020;3;546250;134987;841810;1523047
2020;4;545450;135276;833026;1513752
2020;5;541447;134959;823100;1499506
2020;6;535613;134150;812586;1482349
2020;7;532841;134138;813183;1480162
2020;8;532374;134456;819365;1486195
2020;9;538183;135432;829289;1502904
2020;10;542006;136116;838029;1516151
2020;11;544901;136707;840230;1521838
2020;12;548638;137170;843192;1529000
2021;1;550516;137951;848122;1536589
2021;2;550679;138557;849494;1538730
2021;3;546206;138248;846435;1530889
2021;4;542163;137788;840547;1520498
2021;5;538205;137262;830794;1506261
2021;6;534593;136594;822895;1494082
2021;7;531940;136501;824159;1492600
2021;8;530917;136747;828927;1496591
2021;9;537359;137695;837777;1512831
2021;10;541827;138517;851186;1531530
2021;11;541772;138912;852339;1533023
2021;12;545420;139416;854286;1539122
2022;1;546196;140141;857826;1544163
2022;2;546617;140506;860309;1547432
2022;3;543746;140712;857251;1541709
2022;4;540005;140518;853435;1533958
2022;5;535706;140195;845229;1521130
2022;6;531795;139617;837902;1509314
2022;7;528182;139332;838460;1505974
2022;8;525595;139317;843010;1507922
2022;9;530805;140075;849267;1520147
2022;10;534329;141097;862983;1538409
2022;11;534115;141850;867056;1543021
2022;12;536666;142664;870804;1550134
2023;1;536327;143471;871061;1550859
2023;2;535557;143813;871391;1550761
2023;3;532290;143833;866184;1542307
2023;4;528623;144045;862501;1535169
2023;5;523834;143931;851212;1518977
2023;6;519416;144227;841558;1505201
2023;7;516424;144417;841513;1502354
2023;8;515381;144639;844532;1504552
2023;9;521624;146053;853503;1521180
2023;10;525948;147617;864481;1538046
2023;11;527312;148013;865286;1540611
2023;12;531546;148695;871582;1551823
2024;1;532051;148851;870978;1551880
2024;2;532858;148786;871206;1552850
2024;3;530763;148908;870329;1550000
2024;4;526937;148510;860105;1535552
2024;5;522890;148034;849539;1520463
2024;6;519752;147508;841634;1508894
2024;7;516204;147140;840968;1504312
2024;8;517001;147362;846411;1510774
2024;9;522193;148440;855299;1525932
2024;10;524757;149150;864705;1538612
2024;11;525773;149634;866557;1541964
2024;12;529432;150051;869677;1549160
2025;1;529082;149619;865499;1544200
2025;2;529351;149341;864606;1543298
2025;3;527021;149021;861303;1537345
2025;4;523333;148228;854084;1525645
2025;5;519481;147712;841214;1508407
2025;6;515992;147091;832487;1495570
2025;7;513016;146710;831318;1491044
2025;8;513937;146798;841839;1502574
2025;9;519276;147899;852010;1519185
2025;10;522048;148598;862900;1533546
2025;11;523557;149146;869381;1542084
2025;12;525659;149504;871367;1546530
2026;1;523484;149466;868933;1541883
2026;2;519293;148712;854760;1522765
