﻿# Identitas AG. Validity: 2010-01-01 - 2026-02-28. Evaluated: 2026-03-02
Year;Month;medianAnimalsPerHolding;nCattleHolding;medianTop10PercentAnimalsPerHolding;medianBottom10PercentAnimalsPerHolding
2010;1;32.0;42431.0;92.0;6.0
2010;2;32.0;42383.0;92.0;6.0
2010;3;32.0;42326.0;92.0;6.0
2010;4;31.0;42494.0;91.0;6.0
2010;5;29.0;44657.0;89.0;5.0
2010;6;26.0;44245.0;97.0;3.0
2010;7;27.0;43928.0;98.0;3.0
2010;8;27.0;44598.0;97.0;3.0
2010;9;29.0;44399.0;89.0;5.0
2010;10;31.0;42309.0;93.0;5.0
2010;11;32.0;41818.0;94.0;6.0
2010;12;32.0;41683.0;94.0;6.0
2011;1;32.0;41579.0;94.0;6.0
2011;2;32.0;41491.0;95.0;6.0
2011;3;32.0;41439.0;95.0;6.0
2011;4;31.0;41830.0;93.0;6.0
2011;5;28.0;44310.0;91.0;5.0
2011;6;27.0;43295.0;99.0;3.0
2011;7;27.0;43119.0;100.0;3.0
2011;8;27.0;43803.0;98.0;3.0
2011;9;29.0;43618.0;92.0;5.0
2011;10;31.0;41583.0;96.0;5.0
2011;11;32.0;41028.0;96.0;6.0
2011;12;32.0;40817.0;97.0;6.0
2012;1;32.0;40722.0;97.0;6.0
2012;2;33.0;40640.0;97.0;6.0
2012;3;32.0;40594.0;96.0;6.0
2012;4;32.0;40753.0;96.0;6.0
2012;5;29.0;42910.0;92.0;5.0
2012;6;27.0;42636.0;101.0;3.0
2012;7;27.0;42321.0;101.0;3.0
2012;8;27.0;42890.0;100.0;3.0
2012;9;30.0;42534.0;94.0;5.0
2012;10;32.0;40304.0;98.0;6.0
2012;11;32.0;39914.0;98.0;6.0
2012;12;33.0;39787.0;99.0;6.0
2013;1;33.0;39707.0;99.0;6.0
2013;2;33.0;39623.0;99.0;6.0
2013;3;33.0;39556.0;99.0;6.0
2013;4;32.0;39659.0;98.0;6.0
2013;5;30.0;41078.0;95.0;5.0
2013;6;27.0;41852.0;103.0;4.0
2013;7;27.0;41391.0;104.0;4.0
2013;8;27.0;41848.0;103.0;3.0
2013;9;30.0;41815.0;95.29999999999563;5.0
2013;10;32.0;39601.0;100.0;6.0
2013;11;33.0;39001.0;102.0;6.0
2013;12;33.0;38846.0;102.0;6.0
2014;1;33.0;38747.0;102.0;6.0
2014;2;33.0;38702.0;102.0;6.0
2014;3;33.0;38642.0;101.0;6.0
2014;4;32.0;39030.0;100.0;6.0
2014;5;29.0;41446.0;96.75;5.0
2014;6;28.0;40691.0;106.0;4.0
2014;7;28.0;40494.0;106.0;3.0
2014;8;28.0;41065.0;105.0;3.0
2014;9;30.0;40794.0;98.0;5.0
2014;10;32.0;38870.0;102.0;6.0
2014;11;33.0;38258.0;104.0;6.0
2014;12;33.0;38105.0;104.0;6.0
2015;1;33.0;38044.0;104.0;6.0
2015;2;33.0;37985.0;104.0;6.0
2015;3;33.0;37949.0;104.0;6.0
2015;4;33.0;38227.0;102.0;6.0
2015;5;30.0;40757.0;98.0;5.0
2015;6;28.0;40029.0;108.0;4.0
2015;7;28.0;39757.0;108.0;4.0
2015;8;28.0;40311.0;107.0;3.0
2015;9;30.0;40205.0;99.0;5.0
2015;10;33.0;38086.0;104.0;6.0
2015;11;33.0;37567.0;105.0;6.0
2015;12;33.0;37414.0;106.0;6.0
2016;1;34.0;37335.0;106.0;6.0
2016;2;34.0;37304.0;105.0;6.0
2016;3;34.0;37281.0;105.0;6.0
2016;4;33.0;37602.0;104.0;6.0
2016;5;30.0;39794.0;100.0;5.0
2016;6;28.0;39491.0;109.0;4.0
2016;7;28.0;39171.0;110.0;4.0
2016;8;28.0;39625.0;109.0;4.0
2016;9;31.0;39660.0;101.0;5.0
2016;10;33.0;37547.0;106.0;6.0
2016;11;33.0;36967.0;107.0;6.0
2016;12;34.0;36819.0;107.0;6.0
2017;1;34.0;36774.0;107.0;6.0
2017;2;34.0;36724.0;107.0;6.0
2017;3;34.0;36719.0;107.0;6.0
2017;4;33.0;37048.0;105.0;6.0
2017;5;30.0;39434.0;101.0;5.0
2017;6;28.0;38866.0;111.0;4.0
2017;7;28.0;38663.0;111.0;3.0
2017;8;28.0;39241.0;110.0;3.0
2017;9;31.0;38858.0;102.15000000000146;5.0
2017;10;33.0;37025.0;108.0;6.0
2017;11;34.0;36439.0;109.0;6.0
2017;12;34.0;36292.0;110.0;6.0
2018;1;34.0;36218.0;110.0;6.0
2018;2;34.0;36176.0;110.0;6.0
2018;3;34.0;36126.0;110.0;6.0
2018;4;33.0;36557.0;108.0;6.0
2018;5;30.0;38969.0;103.0;5.0
2018;6;28.0;38293.0;113.0;4.0
2018;7;28.0;37973.0;113.0;4.0
2018;8;28.0;38528.0;112.0;3.0
2018;9;31.0;38471.0;103.0;5.0
2018;10;33.0;36408.0;109.0;5.0
2018;11;34.0;35848.0;110.0;6.0
2018;12;34.0;35652.0;111.0;6.0
2019;1;34.0;35599.0;110.0;6.0
2019;2;34.0;35564.0;111.0;6.0
2019;3;34.0;35558.0;110.15000000000146;6.0
2019;4;34.0;35859.0;109.0;6.0
2019;5;31.0;37691.0;104.0;5.0
2019;6;28.0;37801.0;113.0;4.0
2019;7;29.0;37313.0;115.0;3.0
2019;8;28.0;37722.0;113.94999999999709;3.0
2019;9;31.0;37922.0;104.0;5.0
2019;10;33.0;35817.0;110.0;5.800000000000182
2019;11;34.0;35191.0;111.0;6.0
2019;12;34.0;35034.0;112.0;6.0
2020;1;34.0;34967.0;112.0;6.0
2020;2;35.0;34934.0;112.0;6.0
2020;3;34.0;34929.0;111.0;6.0
2020;4;34.0;35417.0;109.0;6.0
2020;5;30.0;38198.0;105.15000000000146;4.0
2020;6;29.0;37057.0;115.0;4.0
2020;7;29.0;36899.0;115.0;4.0
2020;8;29.0;37496.0;113.0;4.0
2020;9;32.0;37105.0;106.0;5.0
2020;10;34.0;35166.0;112.0;6.0
2020;11;34.0;34734.0;112.0;6.0
2020;12;35.0;34557.0;113.0;6.0
2021;1;35.0;34511.0;114.0;6.0
2021;2;35.0;34472.0;115.0;6.0
2021;3;35.0;34469.0;114.0;6.0
2021;4;34.0;34839.0;112.0;6.0
2021;5;32.0;36748.0;107.0;5.0
2021;6;29.0;36829.0;118.0;4.0
2021;7;29.0;36456.0;119.0;4.0
2021;8;29.0;36886.0;117.0;4.0
2021;9;32.0;37013.0;109.0;5.0
2021;10;34.0;34879.0;114.0;6.0
2021;11;35.0;34203.0;116.0;6.0
2021;12;35.0;34059.0;117.0;6.0
2022;1;35.0;34019.0;118.0;6.0
2022;2;36.0;34006.0;119.0;6.0
2022;3;35.0;33973.0;118.0;6.0
2022;4;35.0;34416.0;116.0;6.0
2022;5;31.0;37254.0;111.0;4.0
2022;6;30.0;36187.0;121.0;4.0
2022;7;30.0;35994.0;122.0;4.0
2022;8;30.0;36531.0;120.0;4.0
2022;9;32.0;36137.0;112.0;5.0
2022;10;35.0;34429.0;117.0;5.0
2022;11;35.0;33707.0;119.0;6.0
2022;12;36.0;33532.0;120.0;6.0
2023;1;36.0;33484.0;120.0;6.0
2023;2;36.0;33452.0;120.0;6.0
2023;3;36.0;33428.0;120.0;6.0
2023;4;35.0;33854.0;118.0;6.0
2023;5;31.0;36460.0;112.0;5.0
2023;6;30.0;35627.0;123.0;4.0
2023;7;30.0;35405.0;123.0;4.0
2023;8;30.0;35945.0;121.0;4.0
2023;9;33.0;35818.0;112.0;5.0
2023;10;35.0;33775.0;119.29999999999927;6.0
2023;11;36.0;33119.0;121.0;6.0
2023;12;37.0;32978.0;122.0;7.0
2024;1;37.0;32942.0;122.0;6.0
2024;2;37.0;32879.0;122.0;6.0
2024;3;37.0;32910.0;122.0;6.0
2024;4;36.0;33380.0;120.0;6.0
2024;5;32.0;36043.0;114.0;5.0
2024;6;30.0;35253.0;123.0;4.0
2024;7;31.0;35041.0;124.0;4.0
2024;8;30.0;35500.0;122.0;4.0
2024;9;33.0;35244.0;115.0;5.0
2024;10;36.0;33270.0;122.0;6.0
2024;11;37.0;32618.0;123.0;6.0
2024;12;37.0;32455.0;124.0;7.0
2025;1;37.0;32396.0;124.0;7.0
2025;2;37.0;32364.0;124.0;6.0
2025;3;37.0;32349.0;124.0;6.0
2025;4;36.0;32917.0;122.0;6.0
2025;5;32.0;35752.0;114.0;5.0
2025;6;30.0;34748.0;124.0;4.0
2025;7;31.0;34533.0;125.0;4.0
2025;8;30.0;35099.0;123.0;4.0
2025;9;34.0;34631.0;116.0;5.0
2025;10;36.0;32593.0;124.0;6.0
2025;11;37.0;32077.0;125.0;6.0
2025;12;37.0;31974.0;126.0;6.0
2026;1;38.0;31913.0;126.0;6.0
2026;2;37.0;31886.0;124.0;6.0
