month,product_subgroup,production_type,region,price_value,unit_name
2025-12,Vacherin fribourgeois,Conventionnel,Suisse,20.74,kg
2025-12,Beurre à rôtir,Conventionnel,Suisse,24.58,kg
2025-12,Crème à café,Conventionnel,Suisse,3.76,Litre
2025-12,Emmentaler,Conventionnel,Suisse,15.82,kg
2025-12,Lait entier,Conventionnel,Suisse,1.39,Litre
2025-12,Mozzarella,Conventionnel,Suisse,10.81,kg
2025-12,Lait drink,Bio,Suisse,1.89,Litre
2025-12,Lait drink,Bio,Suisse,1.87,Litre
2025-12,Tête de Moine,Conventionnel,Suisse,21.2,kg
2025-12,Camembert 60%,Conventionnel,Suisse,23.56,kg
2025-12,Crème entière,Bio,Suisse,14.63,Litre
2025-12,Crème entière,Conventionnel,Suisse,6.7,Litre
2025-12,Emmentaler,Bio,Suisse,23.08,kg
2025-12,Edamer CH,Conventionnel,Suisse,15.5,kg
2025-12,Lait drink,Conventionnel,Suisse,1.74,Litre
2025-12,Sbrinz,Conventionnel,Suisse,25.49,kg
2025-12,"Yogourt, autres fruits",Conventionnel,Suisse,3.58,kg
2025-12,Lait entier,Bio,Suisse,1.87,Litre
2025-12,Tomme,Conventionnel,Suisse,20.27,kg
2025-12,Emmentaler,Conventionnel,Suisse,20.72,kg
2025-12,Appenzell,Conventionnel,Suisse,19.2,kg
2025-12,Beurre de cuisine,Bio,Suisse,20.77,kg
2025-12,Beurre de cuisine,Conventionnel,Suisse,15.43,kg
2025-12,Appenzell,Conventionnel,Suisse,16.77,kg
2025-12,Tilsit,Conventionnel,Suisse,15.26,kg
2025-12,Demi-crème,Conventionnel,Suisse,5.12,Litre
2025-12,Lait écrémé,Conventionnel,Suisse,1.58,Litre
2025-12,Gruyère,Conventionnel,Suisse,17.37,kg
2025-12,Cottage cheese,Conventionnel,Suisse,9.48,kg
2025-12,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-12,Gruyère,Conventionnel,Suisse,22.04,kg
2025-12,Tilsit,Bio,Suisse,20.95,kg
2025-12,Beurre de choix,Conventionnel,Suisse,18.11,kg
2025-12,Beurre de choix,Bio,Suisse,23.04,kg
2025-12,Cottage cheese,Bio,Suisse,12.1,kg
2025-12,Lait drink,Conventionnel,Suisse,1.44,Litre
2025-12,Gruyère,Bio,Suisse,25.11,kg
2025-12,Tilsit,Conventionnel,Suisse,20.26,kg
2025-11,Lait écrémé,Conventionnel,Suisse,1.58,Litre
2025-11,Lait entier,Conventionnel,Suisse,1.51,Litre
2025-11,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-11,"Yogourt, autres fruits",Bio,Suisse,4.33,kg
2025-11,Crème entière,Bio,Suisse,14.63,Litre
2025-11,Demi-crème,Conventionnel,Suisse,5.4,Litre
2025-11,Gruyère,Conventionnel,Suisse,22.04,kg
2025-11,Emmentaler,Conventionnel,Suisse,20.72,kg
2025-11,Vacherin fribourgeois,Conventionnel,Suisse,20.74,kg
2025-11,Edamer CH,Conventionnel,Suisse,15.52,kg
2025-11,Beurre de cuisine,Bio,Suisse,21.12,kg
2025-11,Tilsit,Bio,Suisse,20.95,kg
2025-11,Camembert 60%,Conventionnel,Suisse,23.75,kg
2025-11,Beurre de cuisine,Conventionnel,Suisse,15.42,kg
2025-11,Tête de Moine,Conventionnel,Suisse,21.2,kg
2025-11,Mozzarella,Conventionnel,Suisse,10.81,kg
2025-11,Gruyère,Conventionnel,Suisse,17.47,kg
2025-11,Tilsit,Conventionnel,Suisse,20.26,kg
2025-11,"Yogourt, autres fruits",Conventionnel,Suisse,3.58,kg
2025-11,Lait drink,Bio,Suisse,1.89,Litre
2025-11,Sbrinz,Conventionnel,Suisse,25.49,kg
2025-11,Gruyère,Bio,Suisse,25.11,kg
2025-11,Emmentaler,Conventionnel,Suisse,16.71,kg
2025-11,Lait drink,Conventionnel,Suisse,1.73,Litre
2025-11,Crème entière,Conventionnel,Suisse,7.12,Litre
2025-11,Lait drink,Bio,Suisse,1.87,Litre
2025-11,Yogourt nature,Conventionnel,Suisse,2.48,kg
2025-11,Appenzell,Conventionnel,Suisse,17.53,kg
2025-11,Cottage cheese,Conventionnel,Suisse,9.53,kg
2025-11,Mozzarella,Bio,Suisse,16.0,kg
2025-11,Brie CH 45%,Conventionnel,Suisse,19.66,kg
2025-11,Lait entier,Bio,Suisse,1.87,Litre
2025-11,Appenzell,Conventionnel,Suisse,19.29,kg
2025-11,Brie CH 45%,Bio,Suisse,23.89,kg
2025-11,Beurre à rôtir,Conventionnel,Suisse,24.58,kg
2025-11,Tilsit,Conventionnel,Suisse,15.26,kg
2025-11,Yogourt nature,Bio,Suisse,3.94,kg
2025-11,Lait entier,Bio,Suisse,1.89,Litre
2025-11,Beurre de choix,Bio,Suisse,23.04,kg
2025-11,Beurre de choix,Conventionnel,Suisse,18.11,kg
2025-11,"Fromage à pâte molle, croûte mixte",Conventionnel,Suisse,27.91,kg
2025-11,Lait drink,Conventionnel,Suisse,1.51,Litre
2025-11,Tomme,Conventionnel,Suisse,20.26,kg
2025-11,Cottage cheese,Bio,Suisse,12.1,kg
2025-11,Crème à café,Conventionnel,Suisse,3.97,Litre
2025-11,Fromage à raclette,Conventionnel,Suisse,19.76,kg
2025-11,Emmentaler,Bio,Suisse,23.5,kg
2025-10,Edamer CH,Conventionnel,Suisse,15.52,kg
2025-10,Cottage cheese,Bio,Suisse,11.81,kg
2025-10,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-10,Lait entier,Bio,Suisse,1.89,Litre
2025-10,Beurre à rôtir,Conventionnel,Suisse,24.58,kg
2025-10,Demi-crème,Conventionnel,Suisse,5.24,Litre
2025-10,Mozzarella,Conventionnel,Suisse,10.81,kg
2025-10,Brie CH 45%,Bio,Suisse,23.89,kg
2025-10,Gruyère,Conventionnel,Suisse,17.75,kg
2025-10,Lait drink,Bio,Suisse,1.89,Litre
2025-10,Mozzarella,Bio,Suisse,15.47,kg
2025-10,Tilsit,Bio,Suisse,21.8,kg
2025-10,Lait drink,Conventionnel,Suisse,1.46,Litre
2025-10,Appenzell,Conventionnel,Suisse,17.53,kg
2025-10,Lait entier,Bio,Suisse,1.87,Litre
2025-10,Emmentaler,Conventionnel,Suisse,19.96,kg
2025-10,Tomme,Conventionnel,Suisse,20.26,kg
2025-10,Emmentaler,Conventionnel,Suisse,15.82,kg
2025-10,Emmentaler,Bio,Suisse,21.38,kg
2025-10,Crème entière,Bio,Suisse,14.19,Litre
2025-10,Brie CH 45%,Conventionnel,Suisse,19.66,kg
2025-10,Appenzell,Conventionnel,Suisse,19.92,kg
2025-10,Camembert 60%,Conventionnel,Suisse,23.75,kg
2025-10,Crème entière,Conventionnel,Suisse,6.7,Litre
2025-10,Lait écrémé,Conventionnel,Suisse,1.58,Litre
2025-10,Lait entier,Conventionnel,Suisse,1.5,Litre
2025-10,Cottage cheese,Conventionnel,Suisse,9.06,kg
2025-10,Lait drink,Conventionnel,Suisse,1.73,Litre
2025-10,Fromage à raclette,Conventionnel,Suisse,19.13,kg
2025-10,Beurre de cuisine,Conventionnel,Suisse,15.43,kg
2025-10,Vacherin fribourgeois,Conventionnel,Suisse,20.74,kg
2025-10,Beurre de cuisine,Bio,Suisse,21.12,kg
2025-10,Crème à café,Conventionnel,Suisse,3.97,Litre
2025-10,"Yogourt, autres fruits",Conventionnel,Suisse,3.58,kg
2025-10,"Yogourt, autres fruits",Bio,Suisse,4.33,kg
2025-10,Beurre de choix,Bio,Suisse,23.04,kg
2025-10,Yogourt nature,Conventionnel,Suisse,2.48,kg
2025-10,Yogourt nature,Bio,Suisse,3.89,kg
2025-10,Gruyère,Bio,Suisse,26.79,kg
2025-10,Tilsit,Conventionnel,Suisse,15.17,kg
2025-10,Tilsit,Conventionnel,Suisse,20.26,kg
2025-10,Gruyère,Conventionnel,Suisse,20.9,kg
2025-10,Tête de Moine,Conventionnel,Suisse,21.2,kg
2025-10,Sbrinz,Conventionnel,Suisse,25.49,kg
2025-10,Beurre de choix,Conventionnel,Suisse,18.11,kg
2025-10,Lait drink,Bio,Suisse,1.87,Litre
2025-10,"Fromage à pâte molle, croûte mixte",Conventionnel,Suisse,27.91,kg
2025-09,Sbrinz,Conventionnel,Suisse,25.49,kg
2025-09,Demi-crème,Conventionnel,Suisse,5.24,Litre
2025-09,Emmentaler,Conventionnel,Suisse,20.72,kg
2025-09,Beurre à rôtir,Conventionnel,Suisse,24.58,kg
2025-09,Tilsit,Conventionnel,Suisse,14.5,kg
2025-09,"Fromage à pâte molle, croûte mixte",Conventionnel,Suisse,27.91,kg
2025-09,Crème entière,Bio,Suisse,14.63,Litre
2025-09,Beurre de choix,Bio,Suisse,22.7,kg
2025-09,Lait entier,Bio,Suisse,1.87,Litre
2025-09,Tomme,Conventionnel,Suisse,20.26,kg
2025-09,Fromage à raclette,Conventionnel,Suisse,19.76,kg
2025-09,Cottage cheese,Conventionnel,Suisse,9.48,kg
2025-09,Appenzell,Conventionnel,Suisse,18.3,kg
2025-09,Vacherin fribourgeois,Conventionnel,Suisse,20.74,kg
2025-09,Gruyère,Conventionnel,Suisse,21.08,kg
2025-09,Cottage cheese,Bio,Suisse,12.1,kg
2025-09,Yogourt nature,Bio,Suisse,4.0,kg
2025-09,Lait drink,Conventionnel,Suisse,1.53,Litre
2025-09,Lait entier,Bio,Suisse,1.89,Litre
2025-09,Crème à café,Conventionnel,Suisse,3.76,Litre
2025-09,Appenzell,Conventionnel,Suisse,16.63,kg
2025-09,Brie CH 45%,Conventionnel,Suisse,19.69,kg
2025-09,Mozzarella,Conventionnel,Suisse,9.67,kg
2025-09,Crème entière,Conventionnel,Suisse,6.86,Litre
2025-09,Beurre de choix,Conventionnel,Suisse,17.85,kg
2025-09,Lait écrémé,Conventionnel,Suisse,1.58,Litre
2025-09,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-09,Mozzarella,Bio,Suisse,16.25,kg
2025-09,Lait drink,Bio,Suisse,1.89,Litre
2025-09,Camembert 60%,Conventionnel,Suisse,23.75,kg
2025-09,Edamer CH,Conventionnel,Suisse,15.52,kg
2025-09,Beurre de cuisine,Bio,Suisse,20.8,kg
2025-09,Lait drink,Bio,Suisse,1.87,Litre
2025-09,Tête de Moine,Conventionnel,Suisse,21.2,kg
2025-09,Tilsit,Conventionnel,Suisse,19.19,kg
2025-09,Lait entier,Conventionnel,Suisse,1.42,Litre
2025-09,Brie CH 45%,Bio,Suisse,23.89,kg
2025-09,Gruyère,Conventionnel,Suisse,18.86,kg
2025-09,"Yogourt, autres fruits",Conventionnel,Suisse,3.6,kg
2025-09,Emmentaler,Conventionnel,Suisse,15.82,kg
2025-09,Tilsit,Bio,Suisse,21.8,kg
2025-09,Emmentaler,Bio,Suisse,21.38,kg
2025-09,Yogourt nature,Conventionnel,Suisse,2.51,kg
2025-09,"Yogourt, autres fruits",Bio,Suisse,4.44,kg
2025-09,Lait drink,Conventionnel,Suisse,1.73,Litre
2025-09,Gruyère,Bio,Suisse,26.79,kg
2025-09,Beurre de cuisine,Conventionnel,Suisse,15.4,kg
2025-08,Tilsit,Conventionnel,Suisse,15.18,kg
2025-08,Lait drink,Conventionnel,Suisse,1.65,Litre
2025-08,Lait entier,Bio,Suisse,1.89,Litre
2025-08,"Fromage à pâte molle, croûte mixte",Conventionnel,Suisse,27.91,kg
2025-08,Beurre à rôtir,Conventionnel,Suisse,24.58,kg
2025-08,Brie CH 45%,Conventionnel,Suisse,19.65,kg
2025-08,Brie CH 45%,Bio,Suisse,23.89,kg
2025-08,Yogourt nature,Conventionnel,Suisse,2.51,kg
2025-08,Mozzarella,Bio,Suisse,16.25,kg
2025-08,Yogourt nature,Bio,Suisse,4.0,kg
2025-08,Tilsit,Bio,Suisse,21.8,kg
2025-08,Tilsit,Conventionnel,Suisse,17.72,kg
2025-08,Appenzell,Conventionnel,Suisse,17.52,kg
2025-08,Mozzarella,Conventionnel,Suisse,10.24,kg
2025-08,Crème entière,Conventionnel,Suisse,7.12,Litre
2025-08,Gruyère,Bio,Suisse,26.79,kg
2025-08,Lait écrémé,Conventionnel,Suisse,1.58,Litre
2025-08,Camembert 60%,Conventionnel,Suisse,23.75,kg
2025-08,"Yogourt, autres fruits",Bio,Suisse,4.44,kg
2025-08,Emmentaler,Conventionnel,Suisse,20.72,kg
2025-08,Emmentaler,Conventionnel,Suisse,15.82,kg
2025-08,Emmentaler,Bio,Suisse,21.38,kg
2025-08,Edamer CH,Conventionnel,Suisse,15.52,kg
2025-08,Beurre de cuisine,Bio,Suisse,21.12,kg
2025-08,Tête de Moine,Conventionnel,Suisse,21.2,kg
2025-08,Lait drink,Bio,Suisse,1.87,Litre
2025-08,Beurre de cuisine,Conventionnel,Suisse,15.79,kg
2025-08,Lait entier,Conventionnel,Suisse,1.43,Litre
2025-08,Beurre de choix,Conventionnel,Suisse,17.21,kg
2025-08,Demi-crème,Conventionnel,Suisse,5.19,Litre
2025-08,Lait drink,Bio,Suisse,1.89,Litre
2025-08,Tomme,Conventionnel,Suisse,20.26,kg
2025-08,Cottage cheese,Conventionnel,Suisse,9.41,kg
2025-08,Gruyère,Conventionnel,Suisse,20.96,kg
2025-08,Crème à café,Conventionnel,Suisse,3.97,Litre
2025-08,Appenzell,Conventionnel,Suisse,18.28,kg
2025-08,Beurre de choix,Bio,Suisse,23.04,kg
2025-08,Lait entier,Bio,Suisse,1.87,Litre
2025-08,Lait drink,Conventionnel,Suisse,1.43,Litre
2025-08,Crème entière,Bio,Suisse,14.63,Litre
2025-08,"Yogourt, autres fruits",Conventionnel,Suisse,4.07,kg
2025-08,Gruyère,Conventionnel,Suisse,18.76,kg
2025-08,Cottage cheese,Bio,Suisse,12.1,kg
2025-08,Fromage à raclette,Conventionnel,Suisse,20.9,kg
2025-08,Vacherin fribourgeois,Conventionnel,Suisse,20.75,kg
2025-08,Sbrinz,Conventionnel,Suisse,25.49,kg
2025-08,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-07,Tilsit,Conventionnel,Suisse,17.72,kg
2025-07,Camembert 60%,Conventionnel,Suisse,23.75,kg
2025-07,Beurre de choix,Conventionnel,Suisse,17.34,kg
2025-07,Vacherin fribourgeois,Conventionnel,Suisse,20.75,kg
2025-07,Beurre à rôtir,Conventionnel,Suisse,24.58,kg
2025-07,Lait drink,Bio,Suisse,1.89,Litre
2025-07,Beurre de cuisine,Bio,Suisse,21.12,kg
2025-07,Lait entier,Bio,Suisse,1.87,Litre
2025-07,Lait entier,Conventionnel,Suisse,1.42,Litre
2025-07,Tomme,Conventionnel,Suisse,20.26,kg
2025-07,"Fromage à pâte molle, croûte mixte",Conventionnel,Suisse,27.91,kg
2025-07,Fromage à raclette,Conventionnel,Suisse,19.88,kg
2025-07,Crème entière,Conventionnel,Suisse,7.12,Litre
2025-07,Brie CH 45%,Bio,Suisse,23.89,kg
2025-07,Tête de Moine,Conventionnel,Suisse,21.2,kg
2025-07,Lait drink,Bio,Suisse,1.87,Litre
2025-07,Demi-crème,Conventionnel,Suisse,5.13,Litre
2025-07,Lait drink,Conventionnel,Suisse,1.65,Litre
2025-07,Emmentaler,Conventionnel,Suisse,15.82,kg
2025-07,Crème à café,Conventionnel,Suisse,3.97,Litre
2025-07,Mozzarella,Conventionnel,Suisse,10.22,kg
2025-07,"Yogourt, autres fruits",Bio,Suisse,4.61,kg
2025-07,"Yogourt, autres fruits",Conventionnel,Suisse,3.81,kg
2025-07,Yogourt nature,Bio,Suisse,4.0,kg
2025-07,Emmentaler,Conventionnel,Suisse,20.76,kg
2025-07,Gruyère,Conventionnel,Suisse,17.85,kg
2025-07,Beurre de choix,Bio,Suisse,22.7,kg
2025-07,Cottage cheese,Bio,Suisse,12.1,kg
2025-07,Brie CH 45%,Conventionnel,Suisse,20.31,kg
2025-07,Cottage cheese,Conventionnel,Suisse,9.0,kg
2025-07,Gruyère,Bio,Suisse,26.79,kg
2025-07,Emmentaler,Bio,Suisse,22.44,kg
2025-07,Crème entière,Bio,Suisse,14.63,Litre
2025-07,Appenzell,Conventionnel,Suisse,18.28,kg
2025-07,Lait drink,Conventionnel,Suisse,1.48,Litre
2025-07,Lait entier,Bio,Suisse,1.89,Litre
2025-07,Tilsit,Conventionnel,Suisse,15.18,kg
2025-07,Tilsit,Bio,Suisse,20.95,kg
2025-07,Appenzell,Conventionnel,Suisse,17.52,kg
2025-07,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-07,Gruyère,Conventionnel,Suisse,20.96,kg
2025-07,Edamer CH,Conventionnel,Suisse,15.52,kg
2025-07,Yogourt nature,Conventionnel,Suisse,2.51,kg
2025-07,Lait écrémé,Conventionnel,Suisse,1.58,Litre
2025-07,Beurre de cuisine,Conventionnel,Suisse,15.38,kg
2025-07,Mozzarella,Bio,Suisse,16.74,kg
2025-07,Sbrinz,Conventionnel,Suisse,25.49,kg
2025-06,Lait entier,Conventionnel,Suisse,1.74,Litre
2025-06,Cottage cheese,Conventionnel,Suisse,9.47,kg
2025-06,Beurre de choix,Conventionnel,Suisse,18.13,kg
2025-06,Sbrinz,Conventionnel,Suisse,25.54,kg
2025-06,Lait drink,Bio,Suisse,1.87,Litre
2025-06,Demi-crème,Conventionnel,Suisse,5.46,Litre
2025-06,Gruyère,Conventionnel,Suisse,22.13,kg
2025-06,Lait drink,Conventionnel,Suisse,1.74,Litre
2025-06,Mozzarella,Conventionnel,Suisse,10.75,kg
2025-06,Lait drink,Bio,Suisse,1.89,Litre
2025-06,Lait écrémé,Conventionnel,Suisse,1.59,Litre
2025-06,"Yogourt, autres fruits",Conventionnel,Suisse,3.75,kg
2025-06,Tilsit,Conventionnel,Suisse,15.15,kg
2025-06,Crème à café,Conventionnel,Suisse,3.72,Litre
2025-06,"Yogourt, autres fruits",Bio,Suisse,4.78,kg
2025-06,Emmentaler,Conventionnel,Suisse,15.88,kg
2025-06,Edamer CH,Conventionnel,Suisse,15.54,kg
2025-06,Gruyère,Bio,Suisse,26.79,kg
2025-06,Camembert 60%,Conventionnel,Suisse,23.78,kg
2025-06,Beurre de choix,Bio,Suisse,22.68,kg
2025-06,Appenzell,Conventionnel,Suisse,17.55,kg
2025-06,Crème entière,Bio,Suisse,14.58,Litre
2025-06,Yogourt nature,Conventionnel,Suisse,2.65,kg
2025-06,"Fromage à pâte molle, croûte mixte",Conventionnel,Suisse,27.91,kg
2025-06,Mozzarella,Bio,Suisse,17.23,kg
2025-06,Beurre de cuisine,Conventionnel,Suisse,15.44,kg
2025-06,Vacherin fribourgeois,Conventionnel,Suisse,20.79,kg
2025-06,Brie CH 45%,Conventionnel,Suisse,20.31,kg
2025-06,Lait entier,Conventionnel,Suisse,1.5,Litre
2025-06,Fromage à raclette,Conventionnel,Suisse,22.3,kg
2025-06,Tomme,Conventionnel,Suisse,20.3,kg
2025-06,Lait entier,Bio,Suisse,1.89,Litre
2025-06,Emmentaler,Bio,Suisse,23.5,kg
2025-06,Emmentaler,Conventionnel,Suisse,20.81,kg
2025-06,Gruyère,Conventionnel,Suisse,18.9,kg
2025-06,Beurre à rôtir,Conventionnel,Suisse,24.57,kg
2025-06,Lait entier,Bio,Suisse,1.87,Litre
2025-06,Appenzell,Conventionnel,Suisse,18.33,kg
2025-06,Brie CH 45%,Bio,Suisse,23.89,kg
2025-06,Tête de Moine,Conventionnel,Suisse,21.24,kg
2025-06,Tilsit,Bio,Suisse,21.8,kg
2025-06,Yogourt nature,Bio,Suisse,4.0,kg
2025-06,Lait drink,Conventionnel,Suisse,1.53,Litre
2025-06,Crème entière,Conventionnel,Suisse,7.11,Litre
2025-06,Tilsit,Conventionnel,Suisse,19.07,kg
2025-05,Gruyère,Bio,Suisse,26.79,kg
2025-05,"Yogourt, autres fruits",Bio,Suisse,4.78,kg
2025-05,Sbrinz,Conventionnel,Suisse,25.54,kg
2025-05,Lait drink,Conventionnel,Suisse,1.48,Litre
2025-05,Lait drink,Bio,Suisse,1.78,Litre
2025-05,Cottage cheese,Conventionnel,Suisse,9.08,kg
2025-05,Brie CH 45%,Bio,Suisse,23.89,kg
2025-05,Camembert 60%,Conventionnel,Suisse,23.78,kg
2025-05,"Fromage à pâte molle, croûte mixte",Conventionnel,Suisse,27.91,kg
2025-05,Yogourt nature,Conventionnel,Suisse,2.65,kg
2025-05,Lait entier,Bio,Suisse,1.78,Litre
2025-05,Mozzarella,Bio,Suisse,17.05,kg
2025-05,Beurre de choix,Conventionnel,Suisse,17.88,kg
2025-05,Yogourt nature,Bio,Suisse,4.0,kg
2025-05,Mozzarella,Conventionnel,Suisse,11.28,kg
2025-05,Emmentaler,Bio,Suisse,23.5,kg
2025-05,Emmentaler,Conventionnel,Suisse,20.28,kg
