"month","product_group","product_subgroup","price_index_value"
"2025-12","Lait cru","Lait cru CH","105.68"
"2025-11","Lait cru","Lait cru CH","109.77"
"2025-10","Lait cru","Lait cru CH","109.44"
"2025-09","Lait cru","Lait cru CH","111.43"
"2025-08","Lait cru","Lait cru CH","113.06"
"2025-07","Lait cru","Lait cru CH","112.97"
"2025-06","Lait cru","Lait cru CH","114.45"
"2025-05","Lait cru","Lait cru CH","113.59"
"2025-04","Lait cru","Lait cru CH","113.2"
"2025-03","Lait cru","Lait cru CH","114.63"
"2025-02","Lait cru","Lait cru CH","114.2"
"2025-01","Lait cru","Lait cru CH","113.4"
"2024-12","Lait cru","Lait cru CH","113.37"
"2024-11","Lait cru","Lait cru CH","113.84"
"2024-10","Lait cru","Lait cru CH","114.21"
"2024-09","Lait cru","Lait cru CH","113.25"
"2024-08","Lait cru","Lait cru CH","111.94"
"2024-07","Lait cru","Lait cru CH","111.86"
"2024-06","Lait cru","Lait cru CH","110.35"
"2024-05","Lait cru","Lait cru CH","109.6"
"2024-04","Lait cru","Lait cru CH","108.54"
"2024-03","Lait cru","Lait cru CH","108.49"
"2024-02","Lait cru","Lait cru CH","109.18"
"2024-01","Lait cru","Lait cru CH","108.85"
"2023-12","Lait cru","Lait cru CH","110.39"
"2023-11","Lait cru","Lait cru CH","110.17"
"2023-10","Lait cru","Lait cru CH","109.23"
"2023-09","Lait cru","Lait cru CH","107.47"
"2023-08","Lait cru","Lait cru CH","108.34"
"2023-07","Lait cru","Lait cru CH","108.64"
"2023-06","Lait cru","Lait cru CH","108.58"
"2023-05","Lait cru","Lait cru CH","108.62"
"2023-04","Lait cru","Lait cru CH","109.32"
"2023-03","Lait cru","Lait cru CH","111.42"
"2023-02","Lait cru","Lait cru CH","110.53"
"2023-01","Lait cru","Lait cru CH","111.36"
"2022-12","Lait cru","Lait cru CH","109.47"
"2022-11","Lait cru","Lait cru CH","110.86"
"2022-10","Lait cru","Lait cru CH","113.3"
"2022-09","Lait cru","Lait cru CH","111.75"
"2022-08","Lait cru","Lait cru CH","112.31"
"2022-07","Lait cru","Lait cru CH","113.07"
"2022-06","Lait cru","Lait cru CH","113.2"
"2022-05","Lait cru","Lait cru CH","113.36"
"2022-04","Lait cru","Lait cru CH","109.96"
"2022-03","Lait cru","Lait cru CH","107.96"
"2022-02","Lait cru","Lait cru CH","106.34"
"2022-01","Lait cru","Lait cru CH","105.02"
"2021-12","Lait cru","Lait cru CH","103.66"
"2021-11","Lait cru","Lait cru CH","102.77"
"2021-10","Lait cru","Lait cru CH","101.64"
"2021-09","Lait cru","Lait cru CH","100.41"
"2021-08","Lait cru","Lait cru CH","99.67"
"2021-07","Lait cru","Lait cru CH","99.37"
"2021-06","Lait cru","Lait cru CH","100.65"
"2021-05","Lait cru","Lait cru CH","100.59"
"2021-04","Lait cru","Lait cru CH","100.09"
"2021-03","Lait cru","Lait cru CH","99.53"
"2021-02","Lait cru","Lait cru CH","98.23"
"2021-01","Lait cru","Lait cru CH","97.44"
"2020-12","Lait cru","Lait cru CH","94.97"
"2020-11","Lait cru","Lait cru CH","95.92"
"2020-10","Lait cru","Lait cru CH","94.39"
"2020-09","Lait cru","Lait cru CH","95.28"
"2020-08","Lait cru","Lait cru CH","94.42"
"2020-07","Lait cru","Lait cru CH","94.35"
"2020-06","Lait cru","Lait cru CH","93.26"
"2020-05","Lait cru","Lait cru CH","91.56"
"2020-04","Lait cru","Lait cru CH","92.76"
"2020-03","Lait cru","Lait cru CH","93.48"
"2020-02","Lait cru","Lait cru CH","95.18"
"2020-01","Lait cru","Lait cru CH","95.69"
"2019-12","Lait cru","Lait cru CH","96.16"
"2019-11","Lait cru","Lait cru CH","95.56"
"2019-10","Lait cru","Lait cru CH","95.28"
"2019-09","Lait cru","Lait cru CH","94.76"
"2019-08","Lait cru","Lait cru CH","92.36"
"2019-07","Lait cru","Lait cru CH","92.6"
"2019-06","Lait cru","Lait cru CH","93.21"
"2019-05","Lait cru","Lait cru CH","93.12"
"2019-04","Lait cru","Lait cru CH","93.21"
"2019-03","Lait cru","Lait cru CH","92.1"
"2019-02","Lait cru","Lait cru CH","93.39"
"2019-01","Lait cru","Lait cru CH","91.3"
"2018-12","Lait cru","Lait cru CH","92.05"
"2018-11","Lait cru","Lait cru CH","91.31"
"2018-10","Lait cru","Lait cru CH","92.21"
"2018-09","Lait cru","Lait cru CH","92.44"
"2018-08","Lait cru","Lait cru CH","93"
"2018-07","Lait cru","Lait cru CH","92.32"
"2018-06","Lait cru","Lait cru CH","92.75"
"2018-05","Lait cru","Lait cru CH","92.72"
"2018-04","Lait cru","Lait cru CH","90.92"
"2018-03","Lait cru","Lait cru CH","89.67"
"2018-02","Lait cru","Lait cru CH","90.55"
"2018-01","Lait cru","Lait cru CH","90.36"
"2017-12","Lait cru","Lait cru CH","91.25"
"2017-11","Lait cru","Lait cru CH","91.34"
"2017-10","Lait cru","Lait cru CH","91.83"
"2017-09","Lait cru","Lait cru CH","91.83"
"2017-08","Lait cru","Lait cru CH","91.88"
"2017-07","Lait cru","Lait cru CH","90.77"
"2017-06","Lait cru","Lait cru CH","90.31"
"2017-05","Lait cru","Lait cru CH","88.68"
"2017-04","Lait cru","Lait cru CH","86.9"
"2017-03","Lait cru","Lait cru CH","87.61"
"2017-02","Lait cru","Lait cru CH","88.94"
"2017-01","Lait cru","Lait cru CH","89.43"
"2016-12","Lait cru","Lait cru CH","89.35"
"2016-11","Lait cru","Lait cru CH","88.31"
"2016-10","Lait cru","Lait cru CH","88.58"
"2016-09","Lait cru","Lait cru CH","88.02"
"2016-08","Lait cru","Lait cru CH","86.14"
"2016-07","Lait cru","Lait cru CH","85.67"
"2016-06","Lait cru","Lait cru CH","85.11"
"2016-05","Lait cru","Lait cru CH","84.41"
"2016-04","Lait cru","Lait cru CH","84.73"
"2016-03","Lait cru","Lait cru CH","85.77"
"2016-02","Lait cru","Lait cru CH","86.68"
"2016-01","Lait cru","Lait cru CH","87.13"
"2015-12","Lait cru","Lait cru CH","87.18"
"2015-11","Lait cru","Lait cru CH","87.57"
"2015-10","Lait cru","Lait cru CH","87.56"
"2015-09","Lait cru","Lait cru CH","86.94"
"2015-08","Lait cru","Lait cru CH","86.33"
"2015-07","Lait cru","Lait cru CH","86.75"
"2015-06","Lait cru","Lait cru CH","87.36"
"2015-05","Lait cru","Lait cru CH","87.47"
"2015-04","Lait cru","Lait cru CH","88.09"
"2015-03","Lait cru","Lait cru CH","89.16"
"2015-02","Lait cru","Lait cru CH","89.17"
"2015-01","Lait cru","Lait cru CH","88.86"
"2014-12","Lait cru","Lait cru CH","92.26"
"2014-11","Lait cru","Lait cru CH","92.29"
"2014-10","Lait cru","Lait cru CH","93.15"
"2014-09","Lait cru","Lait cru CH","94.2"
"2014-08","Lait cru","Lait cru CH","95.75"
"2014-07","Lait cru","Lait cru CH","96.92"
"2014-06","Lait cru","Lait cru CH","96.96"
"2014-05","Lait cru","Lait cru CH","97.48"
"2014-04","Lait cru","Lait cru CH","98.15"
"2014-03","Lait cru","Lait cru CH","98.84"
"2014-02","Lait cru","Lait cru CH","99.14"
"2014-01","Lait cru","Lait cru CH","98.91"
"2013-12","Lait cru","Lait cru CH","97.34"
"2013-11","Lait cru","Lait cru CH","97.4"
"2013-10","Lait cru","Lait cru CH","97.22"
"2013-09","Lait cru","Lait cru CH","97.74"
"2013-08","Lait cru","Lait cru CH","97.41"
"2013-07","Lait cru","Lait cru CH","97.06"
"2013-06","Lait cru","Lait cru CH","95.87"
"2013-05","Lait cru","Lait cru CH","94.57"
"2013-04","Lait cru","Lait cru CH","92.85"
"2013-03","Lait cru","Lait cru CH","90.37"
"2013-02","Lait cru","Lait cru CH","90.74"
"2013-01","Lait cru","Lait cru CH","90.72"
"2012-12","Lait cru","Lait cru CH","89.97"
"2012-11","Lait cru","Lait cru CH","89.22"
"2012-10","Lait cru","Lait cru CH","89.76"
"2012-09","Lait cru","Lait cru CH","88.9"
"2012-08","Lait cru","Lait cru CH","87.27"
"2012-07","Lait cru","Lait cru CH","86.16"
"2012-06","Lait cru","Lait cru CH","85.54"
"2012-05","Lait cru","Lait cru CH","84.88"
"2012-04","Lait cru","Lait cru CH","85.69"
"2012-03","Lait cru","Lait cru CH","87.42"
"2012-02","Lait cru","Lait cru CH","88.58"
"2012-01","Lait cru","Lait cru CH","88.95"
"2011-12","Lait cru","Lait cru CH","89.08"
"2011-11","Lait cru","Lait cru CH","90.46"
"2011-10","Lait cru","Lait cru CH","92.05"
"2011-09","Lait cru","Lait cru CH","91.22"
"2011-08","Lait cru","Lait cru CH","88.83"
"2011-07","Lait cru","Lait cru CH","91.39"
"2011-06","Lait cru","Lait cru CH","91.8"
"2011-05","Lait cru","Lait cru CH","92.18"
"2011-04","Lait cru","Lait cru CH","93.2"
"2011-03","Lait cru","Lait cru CH","94.64"
"2011-02","Lait cru","Lait cru CH","94.19"
"2011-01","Lait cru","Lait cru CH","91.5"
"2010-12","Lait cru","Lait cru CH","90.31"
"2010-11","Lait cru","Lait cru CH","90.98"
"2010-10","Lait cru","Lait cru CH","92.52"
"2010-09","Lait cru","Lait cru CH","91.72"
"2010-08","Lait cru","Lait cru CH","92.37"
"2010-07","Lait cru","Lait cru CH","92.96"
"2010-06","Lait cru","Lait cru CH","92.59"
"2010-05","Lait cru","Lait cru CH","93.54"
"2010-04","Lait cru","Lait cru CH","91.5"
"2010-03","Lait cru","Lait cru CH","90.23"
"2010-02","Lait cru","Lait cru CH","89.94"
"2010-01","Lait cru","Lait cru CH","90.44"
